Tweet ID,Time of Tweet,User ID,Text
1589044882676813824,2022-11-05 23:59:57+00:00,911069258,"@ElonGoatToken @VoltInuOfficial #VOLTINU #CRYPTO #Dextools
#Altcoins #VOLTICHANGE #VOLTISOFT #VOLTIECO #CEX #Cryptocom #BTFA #VOLTINUTOTHEMOON #VOLT #VOLTINU100X
#VDSC #SHIBARMY #DOGEARMY #VoltedDragonsSailorsClub #voltinu #Next100XGEMS #100xCoin #volt #Crypto #cryptocurrency $VOLT #Altseason #Altcoin #Memecoin https://t.co/eeyHkxMiet"
1589044550886379520,2022-11-05 23:58:38+00:00,1551067188882116608,"#Ethereum price update: 

#ETH $1628.41 USD
#Bitcoin 0.07649998285290945 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto"
1589044536378298371,2022-11-05 23:58:35+00:00,1585083640114970624,"With Gonfty project, you have chance to be early in joining one of the most exciting gaming infrastructure projects #Gonfty #Metaverse #NFTs #Gaming #DeFi #Airdrop #Bounty #cryptocurrency #blockchain #decentralization #Defi #NFT #crypto #BTC #Altcoin #NFTCommunity  #NFTgamers"
1589044431520673793,2022-11-05 23:58:10+00:00,1546364668503298048,"#BinanceCoin price update: $BNB

#BNB $349.56 USD

#Bitcoin 0.01642 BTC

#Ethereum 0.2147 ETH

#altcoin #crypto #cryptocurrency

Follow for recent BNB price updates"
1589044402164416512,2022-11-05 23:58:03+00:00,1568222677860597760,"@101whaale @AltGemsAlert Can you give me a gem to buy in addition to $CVP that will make me a millionaire?

 I hope to see an #altcoin with good features and potentials like $CVP that will bring good fortunes in the next bullrun."
1589044362138521600,2022-11-05 23:57:53+00:00,1427382483033763841,"Galataray galibiyetine özel XRP short işlemimiz güzel geldi 🤑

#XRP #kripto #altcoin #BTCUSDT https://t.co/K54Vp736Ei"
1589044293922328576,2022-11-05 23:57:37+00:00,1551067188882116608,"#Ethereum price update: 

#ETH $1627.32 USD
#Bitcoin 0.07648125684706333 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto"
1589044280794157057,2022-11-05 23:57:34+00:00,1474674668045021186,RT @altcryptocom: Which #altcoin are you most excited for this weekend?
1589044232547098624,2022-11-05 23:57:22+00:00,1408097978628333572,"RT @LordSatoshiswap: Day 17 of snailposting everyday until #Satoshiswap is at $0.002

#altcoin #100xGems #100x #1000x #Crypto #BSC #BSCGems…"
1589044077391056898,2022-11-05 23:56:45+00:00,1456996941246705664,"You missed #Shib? Get in #Bezoge 🚀 
 #LegendsOfBezogia #PLAYTOEARNGAMES #Crypto #PlaytoEarn #NFTs #play2earn #Crypto #Rent2Earn #R2E #P2E #luffy #dogelonmars #Saitama #Shib #Shibainu #doge #Floki #Altcoin #Etherium #CryptoCurrency #Binance"
1589044039193489408,2022-11-05 23:56:36+00:00,1551067188882116608,"#Ethereum price update: 

#ETH $1626.81 USD
#Bitcoin 0.07647375 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto"
1589043924244783104,2022-11-05 23:56:09+00:00,1546364668503298048,"#BinanceCoin price update: $BNB

#BNB $348.9 USD

#Bitcoin 0.0164 BTC

#Ethereum 0.2145 ETH

#altcoin #crypto #cryptocurrency

Follow for recent BNB price updates"
1589043886604931073,2022-11-05 23:56:00+00:00,1563390332774977541,"#Bitcoin #cryptotrading #altcoins  Be ready to lose all your money in crypto, EU regulators warn"
1589043864085884930,2022-11-05 23:55:54+00:00,1584842059235692544,Be a Dheet Hodler $BTC#BTC #Bitcoin #crypto #altcoins
1589043785140293632,2022-11-05 23:55:36+00:00,1551067188882116608,"#Ethereum price update: 

#ETH $1627.13 USD
#Bitcoin 0.0764724349942239 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto"
1589043705188478977,2022-11-05 23:55:16+00:00,1464606539436773380,Which #altcoin 💎 would you buy if I sent you $1000 right now? 🚀
1589043588515917826,2022-11-05 23:54:49+00:00,1430416154074439680,"@bscgemspump Come check out #Doken whole #DSC #Blockchain is live, low gas, x4 faster than #BSC full of utility and a community holding like true diamonds! Get a spot before it blows up! #Altcoin 🚀🚀🚀"
1589043530000781312,2022-11-05 23:54:35+00:00,1551067188882116608,"#Ethereum price update: 

#ETH $1627.26 USD
#Bitcoin 0.07647211140681033 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto"
1589043518303252480,2022-11-05 23:54:32+00:00,1586289386731233281,"As my chart reading ,bitcoin going to touch $37k #Bitcoin #BTC #altcoins #cryptocurrency"
1589043517090766848,2022-11-05 23:54:32+00:00,1430416154074439680,"@CryptoEmdarks Come check out #Doken whole #DSC #Blockchain is live, low gas, x4 faster than #BSC full of utility and a community holding like true diamonds! Get a spot before it blows up! #Altcoin 🚀🚀🚀"
1589043434983108608,2022-11-05 23:54:12+00:00,1430416154074439680,"@CryptoNova_ Come check out #Doken whole #DSC #Blockchain is live, low gas, x4 faster than #BSC full of utility and a community holding like true diamonds! Get a spot before it blows up! #Altcoin 🚀🚀🚀"
1589043413382746113,2022-11-05 23:54:07+00:00,1546364668503298048,"#BinanceCoin price update: $BNB

#BNB $349.38 USD

#Bitcoin 0.01642 BTC

#Ethereum 0.2147 ETH

#altcoin #crypto #cryptocurrency

Follow for recent BNB price updates"
1589043363533447168,2022-11-05 23:53:55+00:00,1430416154074439680,"@MrBigWhaleCEO Come check out #Doken whole #DSC #Blockchain is live, low gas, x4 faster than #BSC full of utility and a community holding like true diamonds! Get a spot before it blows up! #Altcoin 🚀🚀🚀"
1589043343874756610,2022-11-05 23:53:50+00:00,1465433966459117580,Chainlink Might Be Best Bet For Coming Week ! LINK Price To See 20% Upswing  Coinpedia Fintech News... https://t.co/JeFKsxvONq #altcoin
1589043255320055808,2022-11-05 23:53:29+00:00,1430416154074439680,"@MrRealWhale Come check out #Doken whole #DSC #Blockchain is live, low gas, x4 faster than #BSC full of utility and a community holding like true diamonds! Get a spot before it blows up! #Altcoin 🚀🚀🚀"
1589043176064835585,2022-11-05 23:53:10+00:00,1430416154074439680,"@coingecko Come check out #Doken whole #DSC #Blockchain is live, low gas, x4 faster than #BSC full of utility and a community holding like true diamonds! Get a spot before it blows up! #Altcoin 🚀🚀🚀"
1589043173443018752,2022-11-05 23:53:10+00:00,1586348375586349056,Ava Labs Dismisses “Conspiracy” Alleging Avalanche Paid Lawyers to Sue Competitors #crypto #bitcoin #cryptocurrency #btc #ethereum #blockchain #eth #trading #altcoin #binance #cryptonews
1589043023144710144,2022-11-05 23:52:34+00:00,1551067188882116608,"#Ethereum price update: 

#ETH $1627.12 USD
#Bitcoin 0.07647821918065766 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto"
